Parameters: 
model,par1=ReH,err1,par2=ReE,err2,par3=ReHT,err3
Correct,0.631324,?,0.9559700000000001,?,0.852383,?
network,0.6024326540290087,0.03171270330847865,0.9759900835545035,0.062734322887254,0.7673385033431057,0.046434758395403876
curve fit,0.6098880680481679,0.1523708262631749,0.994477087778953,0.3745186973300074,1.499999999995219,3.370942577148285

Q,x_b,t,k
2.63258,0.345012,-0.225257,4.75
X_Value,Curve_F,network_F,actual_F,errF
6.230119999999999,0.8546942043508161,0.8314711805053124,0.91775,0.09956430000000001
17.0677,0.7693026790771194,0.7484636911831715,0.6753239999999999,0.07488550000000001
25.811999999999998,0.6703872665775246,0.6523008569017632,0.605196,0.0653885
36.5609,0.546170655259887,0.5315199440699315,0.577287,0.062336800000000005
47.5154,0.43711518903829777,0.4254480528978979,0.389287,0.041397199999999995
56.0424,0.368488574123162,0.35867124247544774,0.422465,0.0467392
70.6571,0.2807033563879175,0.27319327147924394,0.295223,0.032253
71.7139,0.2755942318354049,0.26821523728842755,0.320842,0.03443619999999999
86.7405,0.21691451451575744,0.210998435525577,0.231725,0.0255667
98.7745,0.18459576971747996,0.1794335954861289,0.204823,0.0206327
106.772,0.16832545905788213,0.16351914141068366,0.179243,0.020849700000000002
111.50200000000001,0.16026200179199962,0.1556237605324329,0.180722,0.020151
122.93799999999999,0.14465196332275398,0.14031820205779122,0.144048,0.0157625
135.667,0.1323880414834185,0.1282672833719475,0.120805,0.014104599999999998
144.526,0.12631695833043796,0.12228993705043077,0.115097,0.012666
154.408,0.12147312708798648,0.11751378289174352,0.12919,0.016030700000000002
170.955,0.1171469340252811,0.11324163244392516,0.133729,0.015803
178.555,0.11656564242577695,0.11266708142470248,0.122052,0.0127614
186.82299999999998,0.11688924497856507,0.11298694770031213,0.111429,0.0130286
196.19099999999997,0.11848009048645113,0.11455884525124405,0.139217,0.0144072
203.674,0.12074181476498383,0.11679206037328937,0.133753,0.014503299999999998
213.923,0.1254306689660922,0.12141654093376646,0.137673,0.015272200000000001
231.072,0.1382995801906651,0.13407963280612564,0.12465,0.014582499999999998
241.588,0.15023560891903256,0.14579657706301247,0.145466,0.015365700000000001
238.26,0.1460604218507977,0.14170053612571076,0.151367,0.015985399999999997
253.649,0.16909557364302136,0.16427288551171257,0.143019,0.0143179
264.084,0.1913348907877346,0.18601998543983791,0.15694,0.0152972
271.20799999999997,0.21062317013781018,0.20485767812829234,0.231854,0.0252233
282.374,0.2495846469498757,0.24286500308407466,0.294243,0.032506099999999996
299.145,0.33575239946538715,0.3268054609847611,0.343353,0.038429000000000005
307.906,0.39851006856125903,0.3878870764518652,0.400074,0.0446607
312.777,0.43972232941944683,0.42798439982063924,0.424439,0.045831199999999996
326.09,0.5757321755187322,0.5602666075873095,0.623174,0.0673741
337.025,0.7037132953092164,0.6847008040466972,0.813968,0.0884608
347.68300000000005,0.8142378702124016,0.7921450913863235,0.7273729999999999,0.0800699
356.76599999999996,0.8655073654928969,0.8419820455851494,0.9071,0.100515
